ID_NAME_PAIR,NUM_REGISTERED_VOTERS
"('730280', 'ST CLOUD W1 P5')",812
"('180130', 'FORT RIPLEY CITY')",39
"('510075', 'IONA')",85
"('690840', 'NESS TWP.')",41
"('250105', 'PINE ISLAND TWP.')",387
"('150095', 'NORA TWP')",268
"('290090', 'LAKE HATTIE TWP.')",113
"('191100', 'APPLE VALLEY P-10')",2048
"('193450', 'MENDOTA HTS P-5')",1654
"('271470', 'MINNEAPOLIS W-3 P-03')",2927
"('110005', 'ANSEL TWP')",46
"('770010', 'BERTHA')",244
"('270975', 'FORT SNELLING P-01')",124
"('680195', 'WARROAD')",877
"('760040', 'CLONTARF')",95
"('510055', 'FENTON TWP')",107
"('730210', 'PAYNESVILLE')",1348
"('770075', 'GORDON TWP')",422
"('10285', 'UNORG 51-27 (LEMAY UNORG)')",38
"('20120', 'ANOKA P-4')",1288
"('271985', 'MINNEAPOLIS W-13 P-06')",2002
"('770145', 'OSAKIS')",91
"('21005', 'COON RAPIDS W-1 P-1')",2396
"('290005', 'AKELEY')",207
"('810055', 'NEW RICHLAND TWP.')",287
"('620490', 'ROSEVILLE P-07')",2175
"('560140', 'ELIZABETH')",97
"('100120', 'WACONIA W-1')",3339
"('191755', 'EAGAN P-5B')",2127
"('160010', 'GRAND MARAIS EAST PREC 5')",460
"('271160', 'LONG LAKE P-01')",1199
"('810025', 'FREEDOM TWP.')",214
"('370035', 'CAMP RELEASE TWP.')",172
"('640110', 'REDWOOD FALLS W-1')",959
"('192710', 'INVER GROVE HTS P-01')",2139
"('270920', 'EDINA P-14')",1952
"('40240', 'SUMMIT TWP')",176
"('40265', 'TURTLE RIVER')",53
"('600305', 'KING TWP.')",113
"('660095', 'NORTHFIELD W-2 P-2')",1671
"('272510', 'PLYMOUTH W-4 P-23')",1969
"('850130', 'UTICA')",128
"('350090', 'KENNEDY')",124
"('440045', 'LA GARDE TWP')",89
"('510070', 'HOLLY TWP')",59
"('50035', 'GRANITE LEDGE TWP')",461
"('70030', 'DANVILLE TWP')",178
"('192760', 'INVER GROVE HTS P-06')",2000
"('250045', 'FEATHERSTONE TWP.')",511
"('690750', 'INDUSTRIAL TWP.')",459
"('390020', '0020 - 2-B BAUDETTE CITY')",250
"('192620', 'HASTINGS W-1 P-3')",1613
"('690010', 'ALBORN TWP.')",305
"('270870', 'EDINA P-04')",1788
"('360140', 'SCARLETT PRECINCT')",77
"('250205', 'WELCH TWP.')",491
"('650070', 'ERICSON TWP.')",149
"('220090', 'JO DAVIESS TWP.')",148
"('520025', 'COURTLAND TOWNSHIP')",374
"('470090', 'HARVEY TWP.')",226
"('270930', 'EDINA P-16')",1907
"('240145', 'HAYWARD')",163
"('410020', 'DIAMOND LAKE TWP')",111
"('820075', 'COTTAGE GROVE P-08')",2285
"('40180', 'PONEMAH PREC')",431
"('620675', 'ST. PAUL W-1 P-15')",511
"('271205', 'MAPLE GROVE P-04')",1347
"('271827', 'MINNEAPOLIS W-10 P-05B')",0
"('110040', 'BLIND LAKE TWP')",56
"('20525', 'BLAINE W-3 P-5')",1578
"('192720', 'INVER GROVE HTS P-02')",2139
"('250100', 'PINE ISLAND')",1591
"('640210', 'WATERBURY TWP.')",130
"('570020', 'DEER PARK TWP')",82
"('540025', 'BORUP')",42
"('860010', 'ALBION TWP')",824
"('820170', 'LAKE ELMO P-1')",2734
"('620340', 'NEW BRIGHTON P-3')",1838
"('600315', 'LENGBY')",57
"('20325', 'BLAINE W-1 P-5')",2012
"('20805', 'COLUMBIA HEIGHTS P-1')",1754
"('530185', 'WORTHINGTON W-2 P-4')",383
"('720035', 'FAXON TWP.')",415
"('230080', 'HARMONY')",634
"('730275', 'ST CLOUD W1 P4')",1010
"('710080', 'PALMER TWP')",1606
"('320140', 'WEST HERON LAKE TWP.')",94
"('420055', 'GHENT')",228
"('820005', 'AFTON W-1 P-1')",567
"('230060', 'FILLMORE TWP.')",303
"('180006', 'BAXTER P1W')",1133
"('191080', 'APPLE VALLEY P-08')",2285
"('40090', 'GRANT VALLEY TWP')",1237
"('530020', 'BLOOM TWP.')",102
"('520140', 'TRAVERSE TOWNSHIP')",232
"('360055', 'INTERNATIONAL FALLS - CENTER WARD')",938
"('21020', 'COON RAPIDS W-1 P-4')",1249
"('140125', 'HOLY CROSS TWP')",87
"('820235', 'OAKDALE P-3')",2886
"('840025', 'BRANDRUP TWP.')",93
"('90080', 'EAGLE TWP')",341
"('490195', 'RANDALL')",356
"('800015', 'BLUEBERRY TWP.')",487
"('770015', 'BERTHA TWP')",183
"('700125', 'SHAKOPEE P-3')",1570
"('820125', 'FOREST LAKE P-5')",3383
"('310295', 'OTENEAGEN TWP')",169
"('650085', 'FRANKLIN')",241
